-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: NllLossBackward...         0.01%     883.727us         0.02%       3.772ms      75.433us       0.000us         0.00%     235.419us       4.708us           0 B           0 B     -25.00 KB     -50.00 KB            50  
                                       NllLossBackward0         0.00%     358.270us         0.02%       2.888ms      57.758us       0.000us         0.00%     235.419us       4.708us           0 B           0 B      25.00 KB           0 B            50  
                                aten::nll_loss_backward         0.01%     916.920us         0.02%       2.530ms      50.593us     139.420us         0.00%     235.419us       4.708us           0 B           0 B      25.00 KB      25.00 KB            50  
                                       aten::is_nonzero         0.00%     552.655us        74.36%       11.648s      77.653ms       0.000us         0.00%     222.815us       1.485us           0 B           0 B           0 B           0 B           150  
      autograd::engine::evaluate_function: DivBackward0         0.01%       1.686ms         0.05%       7.598ms      75.975us       0.000us         0.00%     216.282us       2.163us        -800 B        -800 B      25.00 KB     -25.00 KB           100  
                                           DivBackward0         0.01%       1.540ms         0.04%       5.912ms      59.118us       0.000us         0.00%     216.282us       2.163us           0 B           0 B      50.00 KB           0 B           100  
                                      aten::nll_loss_nd         0.00%     206.116us         0.01%       2.070ms      41.392us       0.000us         0.00%     203.645us       4.073us           0 B           0 B      50.00 KB           0 B            50  
                                         aten::nll_loss         0.00%     180.982us         0.01%       1.864ms      37.270us       0.000us         0.00%     203.645us       4.073us           0 B           0 B      50.00 KB           0 B            50  
                                 aten::nll_loss_forward         0.01%       1.139ms         0.01%       1.683ms      33.650us     203.645us         0.00%     203.645us       4.073us           0 B           0 B      50.00 KB      50.00 KB            50  
void at::native::(anonymous namespace)::nll_loss_for...         0.00%       0.000us         0.00%       0.000us       0.000us     203.645us         0.00%     203.645us       4.073us           0 B           0 B           0 B           0 B            50  
                                           aten::arange         0.01%     957.961us         0.02%       3.363ms      33.631us      93.693us         0.00%     187.386us       1.874us           0 B           0 B       3.12 MB           0 B           100  
